20 0
1 2 41099135
1 3 30479957
1 4 22669117
1 5 9735388
1 6 41901008
1 7 33018934
1 8 47577422
1 9 30443482
1 10 39862611
1 11 50925054
1 12 64061496
1 13 59033889
1 14 84361985
1 15 69627780
1 16 66936122
1 17 65759241
1 18 80093869
1 19 73984627
1 20 96392716
2 3 11723670
2 4 19729420
2 5 34962281
2 6 8910044
2 7 18149074
2 8 14154897
2 9 36727979
2 10 29956449
2 11 28761471
2 12 39038018
2 13 50558272
2 14 54412264
2 15 49896003
2 16 51502157
2 17 53157261
2 18 55945410
2 19 57262198
2 20 66746827
3 4 8166667
3 5 23500000
3 6 11721301
3 7 9947082
3 8 17966790
3 9 26483748
3 10 23152873
3 11 27198856
3 12 39723841
3 13 45468243
3 14 58019393
3 15 48833617
3 16 48861766
3 17 49590826
3 18 56952222
3 19 55361004
3 20 70442451
4 5 15333333
4 6 19238995
4 7 11880189
4 8 24972207
4 9 22083805
4 10 23240888
4 11 30878346
4 12 44001044
4 13 45572896
4 14 63410918
4 15 51743223
4 16 50707220
4 17 50743910
4 18 60935531
4 19 57540284
4 20 75722447
5 6 34168293
5 7 24097602
5 8 39353808
5 9 21137776
5 10 30135343
5 11 41412894
5 12 54486621
5 13 49549077
5 14 74903271
5 15 59892728
5 16 57241205
5 17 56147128
5 18 70392747
5 19 64289789
5 20 86851726
6 7 12333334
6 8 6508541
6 9 30863500
6 10 22022716
6 11 19867618
6 12 30635313
6 13 41797461
6 14 47337148
6 15 41163630
6 16 42605751
6 17 44250864
6 18 47754581
6 19 48434617
6 20 59769233
7 8 15864881
7 9 18767585
7 10 13207742
7 11 18998539
7 12 32131763
7 13 35556293
7 14 51752885
7 15 40051356
7 16 39463415
7 17 39921103
7 18 49060620
7 19 46147500
7 20 63998482
8 9 32853632
8 10 21772178
8 11 15763002
8 12 24906663
8 13 38836552
8 14 40880585
8 15 36003472
8 16 38178673
8 17 40293369
8 18 41797462
8 19 43557009
8 20 53304681
9 10 13597386
9 11 26738445
9 12 38215691
9 13 28638067
9 14 58893737
9 15 40891455
9 16 37221932
9 17 35596894
9 18 52166933
9 19 44211958
9 20 70002580
10 11 13142382
10 12 25100579
10 13 22502469
10 14 45830909
10 15 29801193
10 16 27771388
10 17 27528269
10 18 40305087
10 19 34744158
10 20 57332607
11 12 13217628
11 13 23302956
11 14 33501658
11 15 21711491
11 16 22740687
11 17 24576976
11 18 30070288
11 19 28662952
11 20 45468243
12 13 23501599
12 14 20733832
12 15 12029137
12 16 16699222
12 17 20408539
12 18 17249319
12 19 19984166
12 20 32378793
13 14 39500352
13 15 17398116
13 16 11080514
13 17 7720823
13 18 28798631
13 19 17011517
13 20 47797025
14 15 22206731
14 16 28972209
14 17 33241540
14 18 12746459
14 19 26509048
14 20 12438739
15 16 6833333
15 17 11156712
15 18 11730777
15 19 7956772
15 20 30634495
16 17 4326919
16 18 17755281
16 19 7048709
16 20 36739322
17 18 21744093
17 19 9292871
17 20 40637285
18 19 13995768
18 20 19000731
19 20 32216786
