25 0
1 2 745356
1 3 41099135
1 4 30479957
1 5 22669117
1 6 9735388
1 7 41901008
1 8 33018934
1 9 47577422
1 10 30443482
1 11 30949781
1 12 39862611
1 13 50925054
1 14 64061496
1 15 59033889
1 16 84361985
1 17 69627780
1 18 66936122
1 19 65759241
1 20 80093869
1 21 73984627
1 22 72660491
1 23 74249527
1 24 96392716
1 25 92294366
2 3 40697051
2 4 29994907
2 5 22135944
2 6 9006171
2 7 41373972
2 8 32385268
2 9 47013591
2 10 29698953
2 11 30206696
2 12 39138288
2 13 50237492
2 14 63366594
2 15 58288554
2 16 83683597
2 17 68898677
2 18 66195837
2 19 65014956
2 20 79377614
2 21 73244271
2 22 71916881
2 23 73507140
2 24 95703826
2 25 91592243
3 4 11723670
3 5 19729420
3 6 34962281
3 7 8910044
3 8 18149074
3 9 14154897
3 10 36727979
3 11 37771608
3 12 29956449
3 13 28761471
3 14 39038018
3 15 50558272
3 16 54412264
3 17 49896003
3 18 51502157
3 19 53157261
3 20 55945410
3 21 57262198
3 22 58098397
3 23 58565867
3 24 66746827
3 25 64646904
4 5 8166667
4 6 23500000
4 7 11721301
4 8 9947082
4 9 17966790
4 10 26483748
4 11 27550459
4 12 23152873
4 13 27198856
4 14 39723841
4 15 45468243
4 16 58019393
4 17 48833617
4 18 48861766
4 19 49590826
4 20 56952222
4 21 55361004
4 22 55449290
4 23 56337176
4 24 70442451
4 25 67397659
5 6 15333333
5 7 19238995
5 8 11880189
5 9 24972207
5 10 22083805
5 11 23118054
5 12 23240888
5 13 30878346
5 14 44001044
5 15 45572896
5 16 63410918
5 17 51743223
5 18 50707220
5 19 50743910
5 20 60935531
5 21 57540284
5 22 57107199
5 23 58268294
5 24 75722447
5 25 72204378
6 7 34168293
6 8 24097602
6 9 39353808
6 10 21137776
6 11 21751118
6 12 30135343
6 13 41412894
6 14 54486621
6 15 49549077
6 16 74903271
6 17 59892728
6 18 57241205
6 19 56147128
6 20 70392747
6 21 64289789
6 22 63023267
6 23 64583750
6 24 86851726
6 25 82666162
7 8 12333334
7 9 6508541
7 10 30863500
7 11 31843803
7 12 22022716
7 13 19867618
7 14 30635313
7 15 41797461
7 16 47337148
7 17 41163630
7 18 42605751
7 19 44250864
7 20 47754581
7 21 48434617
7 22 49208934
7 23 49707707
7 24 59769233
7 25 57186342
8 9 15864881
8 10 18767585
8 11 19785657
8 12 13207742
8 13 18998539
8 14 32131763
8 15 35556293
8 16 51752885
8 17 40051356
8 18 39463415
8 19 39921103
8 20 49060620
8 21 46147500
8 22 45985774
8 23 47000124
8 24 63998482
8 25 60369694
9 10 32853632
9 11 33735078
9 12 21772178
9 13 15763002
9 14 24906663
9 15 38836552
9 16 40880585
9 17 36003472
9 18 38178673
9 19 40293369
9 20 41797462
9 21 43557009
9 22 44678229
9 23 44966908
9 24 53304681
9 25 50833333
10 11 1067187
10 12 13597386
10 13 26738445
10 14 38215691
10 15 28638067
10 16 58893737
10 17 40891455
10 18 37221932
10 19 35596894
10 20 52166933
10 21 44211958
10 22 42559509
10 23 44275637
10 24 70002580
10 25 65131064
11 12 14119529
11 13 27236107
11 14 38506026
11 15 28241026
11 16 59146240
11 17 40867332
11 18 37042018
11 19 35302659
11 20 52214568
11 21 44006155
11 22 42274551
11 23 44023096
11 24 70162510
11 25 65231425
12 13 13142382
12 14 25100579
12 15 22502469
12 16 45830909
12 17 29801193
12 18 27771388
12 19 27528269
12 20 40305087
12 21 34744158
12 22 34015801
12 23 35303848
12 24 57332607
12 25 52816769
13 14 13217628
13 15 23302956
13 16 33501658
13 17 21711491
13 18 22740687
13 19 24576976
13 20 30070288
13 21 28662952
13 22 29341345
13 23 29873089
13 24 45468243
13 25 41526430
14 15 23501599
14 16 20733832
14 17 12029137
14 18 16699222
14 19 20408539
14 20 17249319
14 21 19984166
14 22 22120336
14 23 21723728
14 24 32378793
14 25 28309305
15 16 39500352
15 17 17398116
15 18 11080514
15 19 7720823
15 20 28798631
15 21 17011517
15 22 14499512
15 23 16499428
15 24 47797025
15 25 41967249
16 17 22206731
16 18 28972209
16 19 33241540
16 20 12746459
16 21 26509048
16 22 30179673
16 23 28367962
16 24 12438739
16 25 10879389
17 18 6833333
17 19 11156712
17 20 11730777
17 21 7956772
17 22 10402043
17 23 9736843
17 24 30634495
17 25 25038859
18 19 4326919
18 20 17755281
18 21 7048709
18 22 6630088
18 23 7561085
18 24 36739322
18 25 30887340
19 20 21744093
19 21 9292871
19 22 6976662
19 23 8846040
19 24 40637285
19 25 34679885
20 21 13995768
20 22 17700746
20 23 15770331
20 24 19000731
20 25 13308310
21 22 3705606
21 23 1979264
21 24 32216786
21 25 26101831
22 23 2201420
22 24 35831947
22 25 29690061
23 24 33700253
23 25 27544872
24 25 6202598
